"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB13mSA_ds2_1","f__Anaerobacaceae","A","A_ds2_1",68
"FLB16mNdA_ds2_1","f__Anaerobacaceae","dA","dA_ds2_1",332
"FLB16mNdA_ds3_1","f__Anaerobacaceae","dA","dA_ds3_1",1871
"FLB16mNdB_ds3_1","f__Anaerobacaceae","dB","dB_ds3_1",2525
"FLB16mNuA_ds2_1","f__Anaerobacaceae","uA","uA_ds2_1",687
"FLB16mNuA_ds3_1","f__Anaerobacaceae","uA","uA_ds3_1",1752
"FLB16mNuB_ds3_1","f__Anaerobacaceae","uB","uB_ds3_1",2154
"FLB18mB_ds3_1","f__Anaerobacaceae","B","B_ds3_1",5391
"FLB38mA_ds2_1","f__Anaerobacaceae","A","A_ds2_1",4453
"FLB38mA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",16275
"FLB38mB_ds3_1","f__Anaerobacaceae","B","B_ds3_1",2912
"FLB45mA_ds2_1","f__Anaerobacaceae","A","A_ds2_1",1708
"FLB45mA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",54693
"FLB45mB_ds3_1","f__Anaerobacaceae","B","B_ds3_1",37998
"FLB54mA_ds3_1","f__Anaerobacaceae","A","A_ds3_1",345
"FLB57mdA_ds2_1","f__Anaerobacaceae","dA","dA_ds2_1",1640
"FLB57mdA_ds2_2","f__Anaerobacaceae","dA","dA_ds2_2",1343
"FLB57mdA_ds3_1","f__Anaerobacaceae","dA","dA_ds3_1",5029
"FLB57mdB_ds3_1","f__Anaerobacaceae","dB","dB_ds3_1",388
"FLB57muA_ds3_1","f__Anaerobacaceae","uA","uA_ds3_1",8263
"FLB57muB_ds3_1","f__Anaerobacaceae","uB","uB_ds3_1",336
"FLB00mA_ds3_1","f__UBA5619","A","A_ds3_1",723
"FLB00mB_ds3_1","f__UBA5619","B","B_ds3_1",961
"FLB01mA_ds2_1","f__UBA5619","A","A_ds2_1",65
"FLB01mA_ds3_1","f__UBA5619","A","A_ds3_1",1160
"FLB01mB_ds3_1","f__UBA5619","B","B_ds3_1",1680
"FLB03mA_ds3_1","f__UBA5619","A","A_ds3_1",727
"FLB05mA_ds3_1","f__UBA5619","A","A_ds3_1",643
"FLB05mB_ds3_1","f__UBA5619","B","B_ds3_1",272
"FLB06mA_ds3_1","f__UBA5619","A","A_ds3_1",1697
